date,id,n1,n2,n3,n4,n5,n6
2020-02-21,560,13,15,22,28,29,41
2020-02-23,561,1,6,16,23,34,42
2020-02-26,562,2,10,12,20,24,39
2020-02-28,563,2,19,23,27,29,38
2020-03-01,564,1,6,7,13,26,39
2020-03-04,565,1,7,17,24,35,41
2020-03-06,566,6,9,10,16,26,42
2020-03-08,567,3,13,17,19,21,43
2020-03-11,568,12,16,29,35,37,44
2020-03-13,569,8,13,20,28,35,45
2020-03-15,570,4,7,11,17,19,31
2020-03-18,571,6,21,30,37,38,45
2020-03-20,572,8,23,29,37,39,44
2020-03-22,573,2,10,19,22,24,29
2020-03-25,574,26,31,33,37,38,45
2020-03-27,575,1,6,10,35,36,45
2020-03-29,576,7,10,23,36,39,44
2020-04-24,577,10,31,37,39,40,43
2020-04-26,578,5,25,30,36,37,41
2020-04-29,579,1,8,11,13,15,32
2020-05-01,580,6,7,16,37,40,44
2020-05-03,581,5,18,29,32,38,44
2020-05-06,582,3,18,25,29,30,44
2020-05-08,583,1,3,7,12,22,25
2020-05-10,584,7,9,23,32,33,37
2020-05-13,585,6,20,21,35,40,45
2020-05-15,586,3,12,13,28,33,36
2020-05-17,587,2,4,21,30,33,37
2020-05-20,588,1,8,15,23,25,39
2020-05-22,589,3,8,19,28,35,41
2020-05-24,590,1,29,30,32,34,35
2020-05-27,591,6,15,29,30,37,42
2020-05-29,592,4,10,23,26,35,37
2020-05-31,593,1,6,13,27,35,40
2020-06-03,594,1,15,17,19,40,43
2020-06-05,595,10,13,22,28,38,43
2020-06-07,596,6,7,11,16,23,44
2020-06-10,597,2,11,23,25,26,35
2020-06-12,598,5,16,22,27,30,31
2020-06-14,599,19,22,24,41,44,45
2020-06-17,600,7,16,28,33,34,45
2020-06-19,601,4,12,17,19,32,45
2020-06-21,602,7,9,13,33,40,44
2020-06-24,603,7,17,18,32,39,40
2020-06-26,604,9,23,27,30,38,41
2020-06-28,605,4,15,24,36,37,41
2020-07-01,606,10,13,14,26,32,33
2020-07-03,607,4,5,17,18,22,36
2020-07-05,608,5,8,10,17,22,31
2020-07-08,609,14,15,17,21,31,38
2020-07-10,610,18,20,22,33,35,39
2020-07-12,611,2,15,21,27,31,35
2020-07-15,612,10,11,18,19,20,45
2020-07-17,613,4,10,18,20,32,45
2020-07-19,614,1,13,14,19,42,45
2020-07-22,615,9,13,18,24,26,42
2020-07-24,616,4,25,31,35,39,41
2020-07-26,617,5,15,21,39,43,45
2020-07-29,618,6,14,26,41,42,43
2020-07-31,619,4,9,19,29,36,41
2020-08-02,620,6,9,12,17,41,42
2020-08-05,621,14,18,19,32,33,38
2020-08-07,622,17,26,35,40,43,44
2020-08-09,623,11,13,14,43,44,45
2020-08-12,624,7,21,34,38,43,44
2020-08-14,625,9,18,21,24,34,41
2020-08-16,626,2,5,6,20,33,39
2020-08-19,627,7,20,36,37,43,45
2020-08-21,628,7,8,26,30,37,43
2020-08-23,629,10,14,19,25,36,39
2020-08-26,630,2,18,24,28,35,42
2020-08-28,631,10,11,14,23,27,37
2020-08-30,632,6,8,18,19,29,33
2020-09-02,633,8,10,14,16,18,24
2020-09-04,634,7,16,20,30,40,41
2020-09-06,635,1,6,19,29,31,44
